id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
689047163265138007,La Jolla,Entire home/apt,706.0,10,3.0,7.0,365,6,5.0,32.80979,-117.26707,f,f,43772.0
689096897123432840,City Heights East,Entire home/apt,100.0,4,2.0,2.0,351,56,4.8,32.74697,-117.09215,f,f,7800.0
689111695847481968,Core,Entire home/apt,108.0,6,1.0,3.0,138,127,4.78,32.71869,-117.15831,t,,27540.0
689123411096464393,East Village,Entire home/apt,190.0,5,2.0,2.0,260,2,5.0,32.70993,-117.15394,f,f,11780.0
689237963678603547,East Village,Entire home/apt,259.0,3,1.0,1.0,88,2,4.5,32.70931,-117.15155,f,f,0.0
689320817194861057,Roseville,Entire home/apt,298.0,10,4.0,5.0,341,84,4.71,32.72951,-117.22862,t,f,28608.0
689734755286772360,Ocean Beach,Entire home/apt,437.0,9,4.0,5.0,147,19,4.74,32.73685,-117.24645,f,t,0.0
689829489442989431,Mission Bay,Entire home/apt,113.0,4,1.0,1.0,237,112,4.79,32.77816,-117.25273,t,f,18306.0
689842240630654819,La Jolla,Entire home/apt,123.0,3,1.0,2.0,249,144,4.71,32.8488295,-117.2715383,t,f,21402.0
689844728687817002,Park West,Entire home/apt,299.0,12,3.0,10.0,305,52,4.75,32.733027,-117.159705,t,f,10764.0
689846577370773334,La Jolla,Entire home/apt,1288.0,14,6.0,6.0,311,31,4.58,32.8354388,-117.2774806,t,f,46368.0
689847504659505392,La Jolla,Entire home/apt,121.0,3,1.0,2.0,251,96,4.67,32.8488295,-117.2715383,t,f,18876.0
689848426959034290,La Jolla,Entire home/apt,380.0,7,3.0,3.0,320,91,4.76,32.83497,-117.275988,t,f,41040.0
689849353182828240,Midtown,Entire home/apt,471.0,16,8.0,8.0,275,14,4.79,32.743011,-117.177546,t,f,2826.0
689850275132205597,Midtown,Entire home/apt,153.0,6,2.0,2.0,319,67,4.88,32.743011,-117.177546,t,f,8262.0
689851221722517148,Midtown,Entire home/apt,314.0,12,4.0,4.0,304,19,4.79,32.743053,-117.177614,t,f,5652.0
689852158546218040,Midtown,Entire home/apt,298.0,12,4.0,4.0,277,31,4.77,32.743011,-117.177546,t,f,0.0
689853085486872483,Midtown,Entire home/apt,146.0,6,2.0,2.0,277,43,4.65,32.7430886,-117.1775022,t,f,11388.0
689854015580874635,Midtown,Entire home/apt,148.0,6,2.0,2.0,318,49,4.47,32.7430561,-117.1776076,t,f,7104.0
689859626277440079,Park West,Entire home/apt,734.0,16,9.0,18.0,294,37,4.86,32.733027,-117.159705,t,f,44040.0
689860559481544889,La Jolla,Entire home/apt,344.0,7,3.0,3.0,324,114,4.65,32.83497,-117.275989,t,f,35088.0
689863337674485292,Ocean Beach,Entire home/apt,285.0,15,5.0,9.0,309,109,4.83,32.7386,-117.24418,t,f,27360.0
689864257892820028,La Jolla,Entire home/apt,140.0,3,1.0,2.0,292,121,4.66,32.8488295,-117.2715383,t,f,21000.0
689865185721963381,La Jolla,Entire home/apt,124.0,3,1.0,2.0,290,78,4.6,32.8488295,-117.2715383,t,f,13392.0
689866114274313276,La Jolla,Entire home/apt,150.0,3,1.0,2.0,285,125,4.7,32.8488295,-117.2715383,t,f,26100.0
689867066468650575,La Jolla,Entire home/apt,152.0,3,1.0,2.0,309,93,4.65,32.8488295,-117.2715383,t,f,11856.0
689868003137691249,Park West,Entire home/apt,430.0,15,6.0,8.0,297,52,4.73,32.733027,-117.159705,t,f,15480.0
689868929374994339,Mission Bay,Entire home/apt,549.0,10,4.0,5.0,270,96,4.64,32.76541,-117.25285,t,f,46116.0
690021857107375690,Ocean Beach,Entire home/apt,228.0,4,2.0,2.0,329,136,4.89,32.74814,-117.24706,t,t,53352.0
690477075826952982,Midtown District,Entire home/apt,113.0,4,1.0,2.0,364,36,4.81,32.72724,-117.22567,t,f,21018.0
690644255326240331,Mission Bay,Entire home/apt,213.0,6,2.0,2.0,68,154,4.88,32.7883174,-117.235667,t,t,48564.0
690677762614638113,Carmel Valley,Private room,163.0,2,1.0,1.0,353,20,5.0,32.91254,-117.22186,t,t,5868.0
690742300667569748,Mission Bay,Entire home/apt,89.0,4,1.0,2.0,264,84,4.92,32.58178,-117.06403,f,t,9612.0
691984794572559661,Mission Bay,Entire home/apt,399.0,8,2.0,5.0,351,1,5.0,32.7852651,-117.2537757,f,f,0.0
692017406125483257,Mission Bay,Entire home/apt,750.0,12,4.0,8.0,115,76,4.99,32.7849642,-117.251995,f,,81000.0
692083936180638734,North Clairemont,Entire home/apt,99.0,2,0.0,1.0,315,233,4.88,32.83866,-117.19173,f,t,25245.0
692786016583819522,Ocean Beach,Entire home/apt,91.0,4,0.0,3.0,47,158,4.7,32.7501648,-117.2496764,t,f,16926.0
